drop,optimizer,warmup_lr,activation,residual,batch_size,epochs,dense,latent_dim,reduce_lr,model,learning_rate,run_id,training_loss,validation_loss,runtime_hours,run_id,training_loss,validation_loss,runtime_hours
0.0431,adam,1,sigmoid,1,1024,151,"[978, 978]",128,1,ae,0.0905,360_1_167,0.01461032308638096,0.014528551138937473,0.008813583055555555,360_1_167,0.01461032308638096,0.014528551138937473,0.008813583055555555
0.7846,sgd,0,tanh,0,512,110,"[978, 978, 978]",2,0,vae,0.0084,360_2_159,0.7678903532028198,0.6979750990867615,0.008408174166666667,360_2_159,0.7678903532028198,0.6979750990867615,0.008408174166666667
0.7695,sgd,1,tanh,0,128,137,"[978, 978, 978]",2,0,ae,0.0029,360_2_354,0.034440394325388805,0.02488981785873572,0.01607409361111111,360_2_354,0.034440394325388805,0.02488981785873572,0.01607409361111111
0.5337,adam,0,tanh,0,128,168,"[978, 978, 978, 978, 978]",8,0,vae,0.0906,360_5_211,271.1959616427951,237.32763020833335,0.03829360722222223,360_5_211,271.1959616427951,237.32763020833335,0.03829360722222223
0.5967,rmsprop,1,sigmoid,1,32,116,"[978, 978]",8,0,ae,0.0943,360_1_25,0.014876078488650146,0.014881277456879616,0.03709894972222222,360_1_25,0.014876078488650146,0.014881277456879616,0.03709894972222222
0.8867,sgd,1,relu,1,256,163,"[978, 978, 978]",2,0,ae,0.0149,360_2_166,0.025122215750592727,0.024840457464257875,0.014135476666666666,360_2_166,0.025122215750592727,0.024840457464257875,0.014135476666666666
0.3002,rmsprop,0,sigmoid,0,256,107,"[978, 978, 978, 978, 978, 978]",128,0,ae,0.0223,360_5_15,0.154909635870545,0.15417704383532208,0.015736413055555554,360_5_15,0.154909635870545,0.15417704383532208,0.015736413055555554
0.8371,adam,0,relu,0,128,105,"[1800, 600]",128,1,vae,0.0799,360_1_151,nan,nan,0.016118546666666667,360_1_151,nan,nan,0.016118546666666667
0.0062,sgd,0,relu,0,64,195,"[1800, 600]",32,0,vae,0.0248,360_4_245,0.6740116029315525,0.6738058543205261,0.037563964166666665,360_4_245,0.6740116029315525,0.6738058543205261,0.037563964166666665
0.7303,adam,0,relu,0,1024,103,"[978, 978, 978, 978]",512,0,vae,0.0573,360_3_132,nan,nan,0.008816713611111112,360_3_132,nan,nan,0.008816713611111112
0.2485,adam,0,relu,0,1024,103,"[978, 978, 978, 978, 978, 978]",2,0,vae,0.0156,360_3_300,nan,nan,0.010378578333333333,360_3_300,nan,nan,0.010378578333333333
0.8902,sgd,1,relu,0,512,147,"[978, 978, 978]",32,0,ae,0.0071,360_2_192,0.03267632885111703,0.024964194744825363,0.010571518611111112,360_2_192,0.03267632885111703,0.024964194744825363,0.010571518611111112
0.7301,sgd,0,sigmoid,1,32,140,"[978, 978, 978, 978]",512,0,vae,0.0658,360_1_169,nan,nan,0.06392590277777778,360_1_169,nan,nan,0.06392590277777778
0.5322,sgd,0,relu,0,1024,103,"[978, 978, 978, 978, 978]",128,0,ae,0.0552,360_3_338,0.02618736136842657,0.024911966174840927,0.008087430555555556,360_3_338,0.02618736136842657,0.024911966174840927,0.008087430555555556
0.2516,rmsprop,1,relu,1,1024,188,"[1800, 600]",512,0,ae,0.0248,360_4_289,0.014582933114358673,0.014561950229108334,0.011517995,360_4_289,0.014582933114358673,0.014561950229108334,0.011517995
0.2585,rmsprop,0,sigmoid,0,256,115,"[978, 978, 978, 978, 978, 978]",8,0,vae,0.0206,360_5_229,1.0496662263517027,1.0741273752848308,0.017884813055555556,360_5_229,1.0496662263517027,1.0741273752848308,0.017884813055555556
0.8867,sgd,0,relu,1,1024,101,"[978, 978, 978, 978, 978]",2,0,vae,0.0573,360_3_307,nan,nan,0.00842759388888889,360_3_307,nan,nan,0.00842759388888889
0.8066,sgd,0,sigmoid,0,256,111,"[978, 978, 978]",2,0,vae,0.0085,360_2_195,0.8157489963814064,0.6879974277814229,0.010693296388888888,360_2_195,0.8157489963814064,0.6879974277814229,0.010693296388888888
0.6714,sgd,0,relu,0,64,184,"[1800, 600]",512,0,vae,0.0248,360_4_242,0.6968274660463686,0.6899277448654175,0.03654429222222222,360_4_242,0.6968274660463686,0.6899277448654175,0.03654429222222222
0.8056,sgd,0,tanh,0,64,100,"[978, 978, 978, 978, 978, 978]",512,0,vae,0.0589,360_3_135,1.3085053881892452,1.0263938617706299,0.03153255333333333,360_3_135,1.3085053881892452,1.0263938617706299,0.03153255333333333
0.3622,adam,0,relu,0,512,140,"[978, 978, 978]",2,0,vae,0.0958,360_1_156,nan,nan,0.012206753055555556,360_1_156,nan,nan,0.012206753055555556
0.3584,rmsprop,0,tanh,0,256,151,"[978, 978, 978, 978]",8,1,vae,0.0248,360_5_12,22421.201328486688,0.7337490884462993,0.018807070833333335,360_5_12,22421.201328486688,0.7337490884462993,0.018807070833333335
0.4365,adam,0,relu,1,1024,152,"[1800, 600]",8,0,vae,0.0973,360_1_22,nan,nan,0.009747610277777779,360_1_22,nan,nan,0.009747610277777779
0.5221,rmsprop,1,sigmoid,0,256,165,"[978, 978]",128,1,vae,0.0245,360_5_216,0.6714584618144566,0.6713081065813701,0.015249774999999998,360_5_216,0.6714584618144566,0.6713081065813701,0.015249774999999998
0.7663,sgd,0,relu,0,128,174,"[978, 978, 978]",2,0,vae,0.0065,360_2_161,0.6952122447225783,0.692763721148173,0.02326374388888889,360_2_161,0.6952122447225783,0.692763721148173,0.02326374388888889
0.7692,sgd,0,tanh,0,256,174,"[978, 978, 978]",32,1,vae,0.001,360_2_353,1.059703473161768,0.7026454186439515,0.01658200472222222,360_2_353,1.059703473161768,0.7026454186439515,0.01658200472222222
0.2389,rmsprop,1,relu,0,1024,103,"[978, 978, 978, 978]",512,0,ae,0.0288,360_3_161,0.21188097874323528,0.20892441272735596,0.007967341944444446,360_3_161,0.21188097874323528,0.20892441272735596,0.007967341944444446
0.4649,rmsprop,0,relu,0,512,128,"[978, 978]",8,1,vae,0.0573,360_4_216,nan,nan,0.009241883055555554,360_4_216,nan,nan,0.009241883055555554
0.0289,rmsprop,0,relu,1,256,187,"[978, 978]",8,0,vae,0.0434,360_1_82,nan,nan,0.017072403611111113,360_1_82,nan,nan,0.017072403611111113
0.0561,rmsprop,0,relu,0,1024,103,"[978, 978, 978, 978]",2,0,vae,0.062,360_3_353,nan,nan,0.007964221388888889,360_3_353,nan,nan,0.007964221388888889
0.4101,adam,0,tanh,1,256,111,"[978, 978, 978, 978]",512,0,vae,0.0389,360_1_330,458.397852964048,124.41905232747396,0.015831862500000002,360_1_330,458.397852964048,124.41905232747396,0.015831862500000002
0.4478,rmsprop,1,tanh,0,256,148,"[978, 978]",128,0,vae,0.0208,360_5_46,15.67435269108525,15.954247830708821,0.014485776388888889,360_5_46,15.67435269108525,15.954247830708821,0.014485776388888889
0.4307,rmsprop,0,tanh,1,1024,106,"[1800, 600]",8,1,ae,0.0145,360_1_102,0.1737547007534239,0.15618756413459778,0.006458311388888889,360_1_102,0.1737547007534239,0.15618756413459778,0.006458311388888889
0.8002,adam,0,tanh,1,256,116,"[978, 978, 978]",128,1,ae,0.0093,360_2_51,0.19412594810680106,0.19216297030448914,0.012099587222222223,360_2_51,0.19412594810680106,0.19216297030448914,0.012099587222222223
0.5474,rmsprop,1,relu,0,1024,103,"[978, 978, 978, 978, 978]",128,0,vae,0.0351,360_3_195,nan,nan,0.009171441666666667,360_3_195,nan,nan,0.009171441666666667
0.7693,rmsprop,1,tanh,0,512,117,"[978, 978, 978]",2,0,vae,0.0039,360_2_307,1.0715775931323017,1.0701313018798828,0.009627302777777779,360_2_307,1.0715775931323017,1.0701313018798828,0.009627302777777779
0.7689,sgd,0,tanh,0,256,125,"[978, 978, 978]",2,0,vae,0.0522,360_2_135,0.6959690416300738,0.6959207932154338,0.011795225,360_2_135,0.6959690416300738,0.6959207932154338,0.011795225
0.4331,adam,1,relu,1,1024,132,"[1800, 600]",128,0,ae,0.0401,360_1_76,0.014578320857275416,0.014525487087666988,0.008167798333333334,360_1_76,0.014578320857275416,0.014525487087666988,0.008167798333333334
0.4841,rmsprop,0,relu,0,256,145,"[978, 978, 978, 978, 978, 978]",8,0,vae,0.0236,360_5_242,nan,nan,0.022423779999999997,360_5_242,nan,nan,0.022423779999999997
0.5163,adam,0,tanh,0,128,169,"[978, 978, 978, 978, 978]",8,0,ae,0.09,360_5_79,0.21069029971405312,0.21053747097651163,0.03616944083333334,360_5_79,0.21069029971405312,0.21053747097651163,0.03616944083333334
0.018,sgd,0,sigmoid,0,256,140,"[978, 978, 978, 978]",32,1,vae,0.0022,360_5_289,0.709574229452345,0.7085907077789306,0.015173853055555554,360_5_289,0.709574229452345,0.7085907077789306,0.015173853055555554
0.358,rmsprop,0,relu,0,64,151,"[978, 978]",8,0,ae,0.0248,360_4_229,0.01461845079505885,0.01468726562956969,0.0271621725,360_4_229,0.01461845079505885,0.01468726562956969,0.0271621725
