,batch_size,dropout,epochs,ind_nnet_spec,learning_rate,shared_nnet_spec,validation_loss
0,128,0.2,50,600:600:600,0.1,1200,1.15835215732
1,32,0.05,5,"1200, 1200:1200, 1200:1200, 1200",0.01,400,1.44286574938
2,64,0.2,50,400:400:400,0.05,700,1.09606690731
3,128,0.2,5,400:400:400,0.1,400,1.27724127459
4,16,0.05,50,600:600:600,0.01,500,1.07921623391
5,128,0.2,50,400:400:400,0.01,400,1.20012551914
6,256,0.2,50,600:600:600,0.01,500,1.38016521734
7,16,0.5,5,600:600:600,0.1,1200,0.91895517382
8,128,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.05,500,1.46851210829
9,256,0.05,25,600:600:600,0.05,400,1.09304744842
10,128,0.5,5,600:600:600,0.1,500,1.3970476623
11,16,0.5,50,400:400:400,0.01,600,0.986374585688
12,128,0.05,5,600:600:600,0.1,400,1.2286442233
13,256,0.5,50,"1200, 1200:1200, 1200:1200, 1200",0.01,600,1.45226294615
14,16,0.2,5,400:400:400,0.01,1200,1.26524685817
15,32,0.2,50,"1200, 1200:1200, 1200:1200, 1200",0.1,1200,2.18062972952
16,128,0.2,25,400:400:400,0.1,1200,0.989112755203
17,128,0.05,5,400:400:400,0.01,500,1.50788733973
18,32,0.05,5,"1200, 1200:1200, 1200:1200, 1200",0.01,600,1.41888348112
19,256,0.2,5,400:400:400,0.1,1200,1.31089532823
20,16,0.2,5,600:600:600,0.01,600,1.2686593894
21,64,0.2,5,600:600:600,0.01,500,1.47951869842
22,128,0.05,25,400:400:400,0.1,1200,0.993840174656
23,256,0.05,5,600:600:600,0.05,600,1.45080688044
24,64,0.5,5,600:600:600,0.01,500,1.47728443253
25,256,0.2,25,600:600:600,0.1,700,0.95792208341
26,16,0.05,5,600:600:600,0.1,500,1.03484148083
27,32,0.2,5,"1200, 1200:1200, 1200:1200, 1200",0.1,400,0.966532848815
28,256,0.5,5,600:600:600,0.1,1200,1.36409259086
29,128,0.5,50,400:400:400,0.01,600,1.26538192076
