,batch_size,dropout,epochs,ind_nnet_spec,learning_rate,shared_nnet_spec,validation_loss
0,20,0.409227563145,33,"1200, 1200:1200, 1200:1200, 1200",0.0258375987931,600,1.44811320361
1,128,0.342945084655,29,400:400:400,0.00305433858411,1200,1.47541120666
2,32,0.346847497161,30,400:400:400,0.0108306132774,1200,0.990570607024
3,32,0.366922176459,23,400:400:400,0.0143820970468,700,0.954219742338
4,20,0.384177488691,29,400:400:400,0.0135482604688,700,0.929704294093
5,128,0.369936478216,20,400:400:400,0.0174897808245,1200,1.28374671969
6,16,0.475478155548,30,400:400:400,0.00522556125327,700,0.960530756939
7,16,0.318914474628,27,400:400:400,0.00683378049725,1200,0.933608754237
8,20,0.424203014613,20,400:400:400,0.00400038440487,1200,1.20470003243
9,32,0.291308311847,25,400:400:400,0.00290905591272,600,1.36621202792
10,128,0.382186882416,27,400:400:400,0.00649564584656,600,1.43610323922
11,128,0.391564884551,30,400:400:400,0.0172208361708,500,1.23877039614
12,20,0.389346827889,14,600:600:600,0.0262087348197,1200,0.968209042398
13,256,0.378549276907,26,400:400:400,0.00268129784477,400,1.51685634662
14,32,0.292198536355,22,400:400:400,0.012583798133,1200,0.946007160258
15,20,0.387862658281,22,400:400:400,0.00904753736013,500,0.996849769962
16,16,0.399384199238,34,400:400:400,0.0245414272183,1200,1.27120251625
17,16,0.274551407413,27,400:400:400,0.0112140872632,600,0.982231791281
18,64,0.283397274824,22,400:400:400,0.0140500916596,1200,1.08589778479
19,16,0.381844434584,30,400:400:400,0.0163627567246,1200,1.03134019215
20,16,0.524982831861,26,400:400:400,0.0302601746109,400,1.0766791114
21,16,0.458652667202,29,400:400:400,0.00167415689589,400,1.32983792441
22,16,0.311082043112,27,400:400:400,0.0178960819447,600,0.981752905881
23,32,0.461988571032,30,400:400:400,0.00930334053704,600,0.968086129271
24,16,0.255373752461,24,400:400:400,0.0314702756992,600,1.16328821547
25,16,0.469204753883,29,400:400:400,0.00304445040322,600,1.11550200209
26,20,0.449647131436,25,400:400:400,0.0166556599625,500,0.947869406145
27,20,0.403126115185,28,400:400:400,0.00796575986492,600,0.91866052842
28,32,0.553151949051,35,400:400:400,0.0122243589851,500,0.936824549097
29,128,0.307564842332,24,400:400:400,0.0175922492738,1200,1.25053586857
30,64,0.392410836559,28,400:400:400,0.0142038277373,400,1.06978458705
31,16,0.49299941327,27,400:400:400,0.00746500090688,1200,0.941323673327
32,128,0.555733383565,23,400:400:400,0.0101779211825,500,1.44605286709
33,32,0.329708128281,27,400:400:400,0.0048241947224,1200,1.18033791986
34,32,0.354675662198,19,400:400:400,0.00732151750933,500,1.17071397854
35,16,0.469104601626,24,400:400:400,0.00493174940176,400,1.04177414061
