,batch_size,dropout,epochs,ind_nnet_spec,learning_rate,shared_nnet_spec,validation_loss
0,32,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.05,600,1.09964159854
1,64,0.5,5,400:400:400,0.05,700,1.27401908207
2,16,0.2,25,400:400:400,0.01,500,0.930722380093
3,64,0.5,25,600:600:600,0.01,600,1.29968961519
4,256,0.05,25,600:600:600,0.1,700,0.956931483085
5,16,0.5,5,400:400:400,0.01,700,1.35758384639
6,256,0.2,25,"1200, 1200:1200, 1200:1200, 1200",0.1,600,1.01386658014
7,128,0.05,5,"1200, 1200:1200, 1200:1200, 1200",0.01,400,1.51614137702
8,128,0.2,5,"1200, 1200:1200, 1200:1200, 1200",0.01,600,1.51419197167
9,32,0.05,5,"1200, 1200:1200, 1200:1200, 1200",0.05,1200,1.06640599562
10,256,0.2,25,600:600:600,0.05,600,1.08110197623
11,64,0.2,50,600:600:600,0.1,600,1.34221947492
12,16,0.05,5,600:600:600,0.05,500,1.0674013486
13,64,0.5,5,400:400:400,0.1,600,1.01530598167
14,16,0.5,25,400:400:400,0.1,700,1.51170178121
15,32,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.01,600,1.46854483657
16,256,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.01,400,1.52158395937
17,256,0.5,50,"1200, 1200:1200, 1200:1200, 1200",0.1,600,1.06542956135
18,64,0.05,5,600:600:600,0.05,400,1.1907543899
19,32,0.2,25,600:600:600,0.01,500,0.984153393307
20,128,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.1,1200,1.35973074266
21,128,0.5,5,400:400:400,0.01,1200,1.51802083271
22,64,0.2,50,400:400:400,0.01,700,1.01324741068
23,32,0.05,50,"1200, 1200:1200, 1200:1200, 1200",0.1,700,1.93514529983
24,16,0.05,25,400:400:400,0.1,700,1.71962553071
25,16,0.05,25,"1200, 1200:1200, 1200:1200, 1200",0.1,1200,1.86350612719
26,128,0.5,50,600:600:600,0.05,1200,0.990961694175
27,128,0.2,5,400:400:400,0.01,500,1.49868538613
28,32,0.5,25,600:600:600,0.01,1200,1.00933456957
29,128,0.2,50,600:600:600,0.05,500,0.924740572743
