,Unnamed: 0,batch_size,dropout,epochs,ind_nnet_spec,learning_rate,shared_nnet_spec,validation_loss
16,16,20,0.275130014492,28,400:400:400,0.00562314566962,400,0.989348948547
17,17,16,0.301934624325,21,400:400:400,0.00616110808718,1200,0.966685957081
18,18,16,0.325607969545,27,400:400:400,0.0171477841984,400,1.06053423287
19,19,20,0.37686771847,23,400:400:400,0.00363254110334,400,1.25646288846
20,20,20,0.547237693488,19,400:400:400,0.00632292155169,600,1.14302550134
21,21,20,0.391399306998,21,400:400:400,0.00739911459743,1200,0.962268904309
22,22,64,0.437784341265,26,400:400:400,0.0154073444751,500,1.07880110479
23,23,64,0.35537049454,26,400:400:400,0.0141755440441,500,1.05431285253
24,24,32,0.450660925167,34,600:600:600,0.0346280378834,400,1.04612795582
25,25,64,0.353865406844,28,400:400:400,0.012864776686,500,1.09896629999
26,26,20,0.470578889404,19,400:400:400,0.0158768614431,1200,0.939881397852
27,27,20,0.359047316591,22,400:400:400,0.016042903976,500,0.915997453664
28,28,64,0.208123614653,19,600:600:600,0.011051947061,400,1.28180315686
29,29,16,0.273016122111,20,400:400:400,0.00988135145464,400,0.951089895597
30,30,256,0.359152634366,20,400:400:400,0.0178645028841,400,1.42423823793
31,31,20,0.46255154034,24,400:400:400,0.00921759763765,500,0.988080024796
32,32,64,0.509569616584,32,600:600:600,0.0290095147531,600,0.898453181243
33,33,32,0.390711826471,24,400:400:400,0.0079242597616,600,1.07995462833
34,34,64,0.423440944673,22,400:400:400,0.0163520559495,400,1.14720124161
35,35,32,0.288823793559,22,400:400:400,0.0156701888256,1200,0.910388350053
