,batch_size,dropout,epochs,ind_nnet_spec,learning_rate,shared_nnet_spec,validation_loss
0,128.0,0.5,5,400:400:400,0.1,1200,1.21605293352
1,128.0,0.05,5,600:600:600,0.01,400,1.5024463706
2,16.0,0.5,25,"1200, 1200:1200, 1200:1200, 1200",0.1,1200,1.76350463512
3,64.0,0.05,25,"1200, 1200:1200, 1200:1200, 1200",0.01,700,1.11981084715
4,32.0,0.05,25,400:400:400,0.01,1200,0.935326819341
5,128.0,0.05,5,600:600:600,0.01,500,1.49797692036
6,32.0,0.2,50,"1200, 1200:1200, 1200:1200, 1200",0.05,500,1.88067870087
7,32.0,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.01,700,1.46918142758
8,32.0,0.2,25,"1200, 1200:1200, 1200:1200, 1200",0.05,700,1.39370724891
9,16.0,0.5,5,400:400:400,0.01,500,1.36724012583
10,32.0,0.5,25,400:400:400,0.05,400,0.990078844483
11,32.0,0.5,25,"1200, 1200:1200, 1200:1200, 1200",0.05,700,1.30433040725
12,32.0,0.05,50,"1200, 1200:1200, 1200:1200, 1200",0.05,400,1.90667773617
13,32.0,0.2,25,600:600:600,0.01,400,1.02597331319
14,128.0,0.2,5,400:400:400,0.1,400,1.25577223166
15,16.0,0.5,50,400:400:400,0.01,700,1.04623642011
16,16.0,0.2,25,600:600:600,0.05,700,1.38110990802
17,32.0,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.1,400,1.06687196731
18,128.0,0.5,5,600:600:600,0.05,600,1.39827832318
19,256.0,0.05,25,"1200, 1200:1200, 1200:1200, 1200",0.05,500,1.04646440289
20,16.0,0.05,50,600:600:600,0.01,600,1.10843829976
21,32.0,0.2,5,"1200, 1200:1200, 1200:1200, 1200",0.1,500,0.954027940163
22,32.0,0.2,25,600:600:600,0.01,500,0.984740371246
23,32.0,0.2,5,"1200, 1200:1200, 1200:1200, 1200",0.05,400,1.10088403729
24,256.0,0.05,25,600:600:600,0.01,1200,1.41684309888
25,16.0,0.5,25,400:400:400,0.01,1200,0.913185806787
26,32.0,0.05,50,600:600:600,0.01,500,0.944457668603
27,64.0,0.2,5,600:600:600,0.05,400,1.24000483637
28,256.0,0.05,50,600:600:600,0.1,1200,0.917346306652
29,32.0,0.05,5,400:400:400,0.01,600,1.41702645638
30,20.0,0.409227563145,33,"1200, 1200:1200, 1200:1200, 1200",0.0258375987931,600,1.44811320361
31,128.0,0.342945084655,29,400:400:400,0.00305433858411,1200,1.47541120666
32,32.0,0.346847497161,30,400:400:400,0.0108306132774,1200,0.990570607024
33,32.0,0.366922176459,23,400:400:400,0.0143820970468,700,0.954219742338
34,20.0,0.384177488691,29,400:400:400,0.0135482604688,700,0.929704294093
35,128.0,0.369936478216,20,400:400:400,0.0174897808245,1200,1.28374671969
36,16.0,0.475478155548,30,400:400:400,0.00522556125327,700,0.960530756939
37,16.0,0.318914474628,27,400:400:400,0.00683378049725,1200,0.933608754237
38,20.0,0.424203014613,20,400:400:400,0.00400038440487,1200,1.20470003243
39,32.0,0.291308311847,25,400:400:400,0.00290905591272,600,1.36621202792
40,128.0,0.382186882416,27,400:400:400,0.00649564584656,600,1.43610323922
41,128.0,0.391564884551,30,400:400:400,0.0172208361708,500,1.23877039614
42,20.0,0.389346827889,14,600:600:600,0.0262087348197,1200,0.968209042398
43,256.0,0.378549276907,26,400:400:400,0.00268129784477,400,1.51685634662
44,32.0,0.292198536355,22,400:400:400,0.012583798133,1200,0.946007160258
45,20.0,0.387862658281,22,400:400:400,0.00904753736013,500,0.996849769962
46,16.0,0.399384199238,34,400:400:400,0.0245414272183,1200,1.27120251625
47,16.0,0.274551407413,27,400:400:400,0.0112140872632,600,0.982231791281
48,64.0,0.283397274824,22,400:400:400,0.0140500916596,1200,1.08589778479
49,16.0,0.381844434584,30,400:400:400,0.0163627567246,1200,1.03134019215
50,16.0,0.524982831861,26,400:400:400,0.0302601746109,400,1.0766791114
51,16.0,0.458652667202,29,400:400:400,0.00167415689589,400,1.32983792441
52,16.0,0.311082043112,27,400:400:400,0.0178960819447,600,0.981752905881
53,32.0,0.461988571032,30,400:400:400,0.00930334053704,600,0.968086129271
54,16.0,0.255373752461,24,400:400:400,0.0314702756992,600,1.16328821547
55,16.0,0.469204753883,29,400:400:400,0.00304445040322,600,1.11550200209
56,20.0,0.449647131436,25,400:400:400,0.0166556599625,500,0.947869406145
57,20.0,0.403126115185,28,400:400:400,0.00796575986492,600,0.91866052842
58,32.0,0.553151949051,35,400:400:400,0.0122243589851,500,0.936824549097
59,128.0,0.307564842332,24,400:400:400,0.0175922492738,1200,1.25053586857
60,64.0,0.392410836559,28,400:400:400,0.0142038277373,400,1.06978458705
61,16.0,0.49299941327,27,400:400:400,0.00746500090688,1200,0.941323673327
62,128.0,0.555733383565,23,400:400:400,0.0101779211825,500,1.44605286709
63,32.0,0.329708128281,27,400:400:400,0.0048241947224,1200,1.18033791986
64,32.0,0.354675662198,19,400:400:400,0.00732151750933,500,1.17071397854
65,16.0,0.469104601626,24,400:400:400,0.00493174940176,400,1.04177414061
66,128.0,0.325505603349,28,600:600:600,0.0140312455807,400,1.33112912813
67,20.0,0.414279649484,29,400:400:400,0.0170217787283,1200,0.999721217388
68,20.0,0.425349901687,27,400:400:400,0.00446516156912,1200,1.05855342805
69,16.0,0.370062082058,28,400:400:400,0.0101118586652,700,0.904970663621
70,128.0,0.526720907464,24,400:400:400,0.0140008355272,500,1.36499974568
71,20.0,0.297656477833,26,400:400:400,0.00148543272746,1200,1.3752445295
72,16.0,0.307384739357,22,400:400:400,0.0173475264994,1200,0.955072392834
73,20.0,0.401388777345,19,400:400:400,0.00468282790523,700,1.19295530505
74,64.0,0.515482533011,33,600:600:600,0.00986024399116,1200,1.09755221599
75,20.0,0.292645080116,19,400:400:400,0.0148161328165,400,0.924343004984
76,64.0,0.414379880924,23,400:400:400,0.00868732779767,1200,1.28250476533
77,20.0,0.397337799084,25,400:400:400,0.0182560384682,1200,0.947419932895
78,64.0,0.207516457611,14,600:600:600,0.0135738687733,500,1.27700556836
79,256.0,0.306422524506,24,400:400:400,0.00206794425808,600,1.50805671447
80,64.0,0.473513880383,29,400:400:400,0.0152536753,600,1.03632282289
81,20.0,0.45301701056,28,400:400:400,0.0180028102482,400,0.940571300444
82,20.0,0.275130014492,28,400:400:400,0.00562314566962,400,0.989348948547
83,16.0,0.301934624325,21,400:400:400,0.00616110808718,1200,0.966685957081
84,16.0,0.325607969545,27,400:400:400,0.0171477841984,400,1.06053423287
85,20.0,0.37686771847,23,400:400:400,0.00363254110334,400,1.25646288846
86,20.0,0.547237693488,19,400:400:400,0.00632292155169,600,1.14302550134
87,20.0,0.391399306998,21,400:400:400,0.00739911459743,1200,0.962268904309
88,64.0,0.437784341265,26,400:400:400,0.0154073444751,500,1.07880110479
89,64.0,0.35537049454,26,400:400:400,0.0141755440441,500,1.05431285253
90,32.0,0.450660925167,34,600:600:600,0.0346280378834,400,1.04612795582
91,64.0,0.353865406844,28,400:400:400,0.012864776686,500,1.09896629999
92,20.0,0.470578889404,19,400:400:400,0.0158768614431,1200,0.939881397852
93,20.0,0.359047316591,22,400:400:400,0.016042903976,500,0.915997453664
94,64.0,0.208123614653,19,600:600:600,0.011051947061,400,1.28180315686
95,16.0,0.273016122111,20,400:400:400,0.00988135145464,400,0.951089895597
96,256.0,0.359152634366,20,400:400:400,0.0178645028841,400,1.42423823793
97,20.0,0.46255154034,24,400:400:400,0.00921759763765,500,0.988080024796
98,64.0,0.509569616584,32,600:600:600,0.0290095147531,600,0.898453181243
99,32.0,0.390711826471,24,400:400:400,0.0079242597616,600,1.07995462833
100,64.0,0.423440944673,22,400:400:400,0.0163520559495,400,1.14720124161
101,32.0,0.288823793559,22,400:400:400,0.0156701888256,1200,0.910388350053
102,16.0,0.346460187578,25,400:400:400,0.0121914989051,1200,0.942162377623
103,16.0,0.217446133706,26,400:400:400,0.00928758775445,1200,0.949010079453
104,16.0,0.456155843387,21,400:400:400,0.00881534492936,600,0.929089984674
105,256.0,0.428700424422,21,400:400:400,0.0067964789178,600,1.47938581332
106,256.0,0.208936417385,26,"1200, 1200:1200, 1200:1200, 1200",0.0103802989391,700,1.46392840197
107,64.0,0.244275484568,21,400:400:400,0.00536060618074,600,1.37373486354
108,64.0,0.420662296262,23,400:400:400,0.0190394204328,1200,1.00750856432
109,64.0,0.501732548874,30,400:400:400,0.0215058774396,400,0.994487853864
110,32.0,0.342693123778,19,400:400:400,0.00531215264732,400,1.30679410466
111,64.0,0.41561703387,26,400:400:400,0.00880462015815,400,1.27871259095
112,64.0,0.496800114558,29,400:400:400,0.0220160211043,1200,0.921705764105
113,64.0,0.433242355292,23,400:400:400,0.0131572749364,1200,1.10903690211
114,64.0,0.433874400794,29,400:400:400,0.00781142613227,1200,1.2526026235
